service_date,day_type,bus,rail_boardings,total_rides,peak_offpeak,load_factor
2007-03-08,W,1019684,625383,1645067,peak,16450.67
2007-03-09,W,1021269,616768,1638037,peak,16380.37
2007-03-10,A,645222,343183,988405,offpeak,9884.05
2007-03-11,U,435861,237257,673118,offpeak,6731.18
2007-03-12,W,1009154,613447,1622601,peak,16226.01
2007-03-13,W,1053169,648460,1701629,peak,17016.29
2007-03-14,W,1010219,631196,1641415,peak,16414.15
2007-03-15,W,1011742,635295,1647037,peak,16470.37
2007-03-16,W,1019835,638871,1658706,peak,16587.06
2007-03-17,A,622487,432315,1054802,offpeak,10548.02
2007-03-18,U,420366,236110,656476,offpeak,6564.76
2007-03-19,W,1007874,607303,1615177,peak,16151.77
2007-03-20,W,1031451,620644,1652095,peak,16520.95
2007-03-21,W,970928,596843,1567771,peak,15677.71
2007-03-22,W,1025487,620409,1645896,peak,16458.96
2007-03-23,W,997803,601679,1599482,peak,15994.82
2007-03-24,A,619377,326859,946236,offpeak,9462.36
2007-03-25,U,442112,267216,709328,offpeak,7093.28
2007-03-26,W,1011806,604279,1616085,peak,16160.85
2007-03-27,W,1010067,606509,1616576,peak,16165.76
2007-03-28,W,981180,608639,1589819,peak,15898.19
2007-03-29,W,1014456,626073,1640529,peak,16405.29
2007-03-30,W,1037493,621496,1658989,peak,16589.89
2007-03-31,A,608037,323073,931110,offpeak,9311.1
2007-04-01,U,425595,222200,647795,offpeak,6477.95
2007-04-02,W,936869,574727,1511596,peak,15115.96
2007-04-03,W,932688,564461,1497149,peak,14971.49
2007-04-04,W,874823,565985,1440808,peak,14408.08
2007-04-05,W,892666,577450,1470116,peak,14701.16
2007-04-06,W,822387,508529,1330916,peak,13309.16
2007-04-07,A,547926,279962,827888,offpeak,8278.88
2007-04-08,U,374365,189557,563922,offpeak,5639.22
2007-04-09,W,1002171,601020,1603191,peak,16031.91
2007-04-10,W,1048978,629888,1678866,peak,16788.66
2007-04-11,W,921761,585857,1507618,peak,15076.18
2007-04-12,W,1015749,617734,1633483,peak,16334.83
2007-04-13,W,946466,621763,1568229,peak,15682.29
2007-04-14,A,619468,349162,968630,offpeak,9686.3
2007-04-15,U,447385,250988,698373,offpeak,6983.73
2007-04-16,W,1057373,622244,1679617,peak,16796.17
2007-04-17,W,1058244,631795,1690039,peak,16900.39
2007-04-18,W,1030970,617779,1648749,peak,16487.49
2007-04-19,W,987896,617546,1605442,peak,16054.42
2007-04-20,W,1049980,647296,1697276,peak,16972.76
2007-04-21,A,672236,371504,1043740,offpeak,10437.4
2007-04-22,U,474187,271708,745895,offpeak,7458.95
2007-04-23,W,1021947,617017,1638964,peak,16389.64
2007-04-24,W,1054294,631249,1685543,peak,16855.43
2007-04-25,W,927830,604311,1532141,peak,15321.41
2007-04-26,W,954930,604957,1559887,peak,15598.87
2007-04-27,W,1017433,617985,1635418,peak,16354.18
2007-04-28,A,657645,320088,977733,offpeak,9777.33
2007-04-29,U,467869,237595,705464,offpeak,7054.64
2007-04-30,W,1030435,599953,1630388,peak,16303.88
2007-05-01,W,1096741,680365,1777106,peak,17771.06
2007-05-02,W,1067338,617675,1685013,peak,16850.13
2007-05-03,W,1102282,631926,1734208,peak,17342.08
2007-05-04,W,1081903,642564,1724467,peak,17244.67
2007-05-05,A,664729,360852,1025581,offpeak,10255.81
2007-05-06,U,470694,266988,737682,offpeak,7376.82
2007-05-07,W,1059535,610376,1669911,peak,16699.11
2007-05-08,W,1079400,648555,1727955,peak,17279.55
2007-05-09,W,1061512,645132,1706644,peak,17066.44
2007-05-10,W,1065947,654856,1720803,peak,17208.03
2007-05-11,W,1050841,668098,1718939,peak,17189.39
2007-05-12,A,660001,329029,989030,offpeak,9890.3
2007-05-13,U,446076,224489,670565,offpeak,6705.65
2007-05-14,W,1017451,586905,1604356,peak,16043.56
2007-05-15,W,999166,604844,1604010,peak,16040.1
2007-05-16,W,1028004,625297,1653301,peak,16533.01
2007-05-17,W,1043033,627116,1670149,peak,16701.49
2007-05-18,W,1044582,643462,1688044,peak,16880.44
2007-05-19,A,684079,343947,1028026,offpeak,10280.26
2007-05-20,U,422463,233007,655470,offpeak,6554.7
2007-05-21,W,1039954,614276,1654230,peak,16542.3
2007-05-22,W,1044661,627087,1671748,peak,16717.48
2007-05-23,W,1028065,623366,1651431,peak,16514.31
2007-05-24,W,1009067,617536,1626603,peak,16266.03
2007-05-25,W,995233,611019,1606252,peak,16062.52
2007-05-26,A,556682,307727,864409,offpeak,8644.09
2007-05-27,U,451833,270636,722469,offpeak,7224.69
2007-05-28,U,415256,254935,670191,offpeak,6701.91
2007-05-29,W,1024735,622662,1647397,peak,16473.97
2007-05-30,W,1055384,637763,1693147,peak,16931.47
2007-05-31,W,997007,612977,1609984,peak,16099.84
2007-06-01,W,1079848,654251,1734099,peak,17340.99
2007-06-02,A,680844,367035,1047879,offpeak,10478.79
2007-06-03,U,461358,263646,725004,offpeak,7250.04
2007-06-04,W,988557,611310,1599867,peak,15998.67
2007-06-05,W,1067413,643474,1710887,peak,17108.87
2007-06-06,W,1047624,641107,1688731,peak,16887.31
2007-06-07,W,1041490,656169,1697659,peak,16976.59
2007-06-08,W,1025937,653397,1679334,peak,16793.34
2007-06-09,A,661835,402393,1064228,offpeak,10642.28
2007-06-10,U,466294,291979,758273,offpeak,7582.73
2007-06-11,W,1000007,645161,1645168,peak,16451.68
2007-06-12,W,1015390,660899,1676289,peak,16762.89
2007-06-13,W,955467,654913,1610380,peak,16103.8
2007-06-14,W,944081,653008,1597089,peak,15970.89
2007-06-15,W,1018966,670995,1689961,peak,16899.61
2007-06-16,A,633038,363871,996909,offpeak,9969.09
2007-06-17,U,464411,257682,722093,offpeak,7220.93
2007-06-18,W,898272,590320,1488592,peak,14885.92
2007-06-19,W,954392,618913,1573305,peak,15733.05
2007-06-20,W,952574,625805,1578379,peak,15783.79
2007-06-21,W,941671,626907,1568578,peak,15685.78
2007-06-22,W,915690,623048,1538738,peak,15387.38
2007-06-23,A,576598,336644,913242,offpeak,9132.42
2007-06-24,U,451145,346881,798026,offpeak,7980.26
2007-06-25,W,922491,619299,1541790,peak,15417.9
2007-06-26,W,887917,623390,1511307,peak,15113.07
2007-06-27,W,905210,627568,1532778,peak,15327.78
2007-06-28,W,927302,620611,1547913,peak,15479.13
2007-06-29,W,968906,708650,1677556,peak,16775.56
2007-06-30,A,680629,447188,1127817,offpeak,11278.17
2007-07-01,U,495101,354648,849749,offpeak,8497.49
2007-07-02,W,955129,644079,1599208,peak,15992.08
2007-07-03,W,1048504,848262,1896766,peak,18967.66
2007-07-04,U,486961,349716,836677,offpeak,8366.77
2007-07-05,W,933153,655871,1589024,peak,15890.24
2007-07-06,W,956208,696508,1652716,peak,16527.16
2007-07-07,A,640418,398525,1038943,offpeak,10389.43
2007-07-08,U,443791,287948,731739,offpeak,7317.39
2007-07-09,W,896820,587889,1484709,peak,14847.09
2007-07-10,W,939774,610001,1549775,peak,15497.75
2007-07-11,W,973860,629790,1603650,peak,16036.5
2007-07-12,W,962640,631002,1593642,peak,15936.42
2007-07-13,W,956346,676306,1632652,peak,16326.52
2007-07-14,A,687968,383132,1071100,offpeak,10711.0
2007-07-15,U,489228,289728,778956,offpeak,7789.56
2007-07-16,W,939642,627282,1566924,peak,15669.24
2007-07-17,W,945057,637429,1582486,peak,15824.86
2007-07-18,W,939708,654848,1594556,peak,15945.56
2007-07-19,W,935717,648112,1583829,peak,15838.29
2007-07-20,W,959207,655992,1615199,peak,16151.99
2007-07-21,A,685445,366356,1051801,offpeak,10518.01
2007-07-22,U,480317,266827,747144,offpeak,7471.44
2007-07-23,W,937452,613805,1551257,peak,15512.57
2007-07-24,W,935763,624166,1559929,peak,15599.29
2007-07-25,W,939278,626658,1565936,peak,15659.36
2007-07-26,W,919288,624338,1543626,peak,15436.26
2007-07-27,W,923332,625772,1549104,peak,15491.04
2007-07-28,A,641760,380163,1021923,offpeak,10219.23
2007-07-29,U,457951,272684,730635,offpeak,7306.35
2007-07-30,W,917757,620439,1538196,peak,15381.96
2007-07-31,W,946285,637331,1583616,peak,15836.16
2007-08-01,W,974958,643448,1618406,peak,16184.06
2007-08-02,W,944912,650901,1595813,peak,15958.13
2007-08-03,W,976842,692273,1669115,peak,16691.15
2007-08-04,A,646378,422115,1068493,offpeak,10684.93
2007-08-05,U,457228,332786,790014,offpeak,7900.14
2007-08-06,W,908881,591244,1500125,peak,15001.25
2007-08-07,W,930259,609984,1540243,peak,15402.43
2007-08-08,W,911127,598593,1509720,peak,15097.2
2007-08-09,W,921233,610768,1532001,peak,15320.01
2007-08-10,W,942284,617817,1560101,peak,15601.01
2007-08-11,A,710009,379200,1089209,offpeak,10892.09
2007-08-12,U,472709,262521,735230,offpeak,7352.3
2007-08-13,W,901029,574616,1475645,peak,14756.45
2007-08-14,W,905711,605080,1510791,peak,15107.91
2007-08-15,W,906121,603458,1509579,peak,15095.79
2007-08-16,W,910468,620464,1530932,peak,15309.32
2007-08-17,W,940525,629675,1570200,peak,15702.0
2007-08-18,A,613516,367895,981411,offpeak,9814.11
2007-08-19,U,384648,241159,625807,offpeak,6258.07
2007-08-20,W,869663,597026,1466689,peak,14666.89
2007-08-21,W,927597,600468,1528065,peak,15280.65
2007-08-22,W,929593,601469,1531062,peak,15310.62
2007-08-23,W,848806,578731,1427537,peak,14275.37
2007-08-24,W,886880,605153,1492033,peak,14920.33
2007-08-25,A,660678,362365,1023043,offpeak,10230.43
2007-08-26,U,491356,274617,765973,offpeak,7659.73
2007-08-27,W,952232,609440,1561672,peak,15616.72
2007-08-28,W,986289,648482,1634771,peak,16347.71
2007-08-29,W,961627,640436,1602063,peak,16020.63
2007-08-30,W,968474,666661,1635135,peak,16351.35
2007-08-31,W,1012720,674373,1687093,peak,16870.93
2007-09-01,A,697334,412998,1110332,offpeak,11103.32
2007-09-02,U,506887,328760,835647,offpeak,8356.47
2007-09-03,U,461629,275023,736652,offpeak,7366.52
2007-09-04,W,1096027,666200,1762227,peak,17622.27
2007-09-05,W,1097897,689499,1787396,peak,17873.96
2007-09-06,W,1068817,689347,1758164,peak,17581.64
2007-09-07,W,1043967,668804,1712771,peak,17127.71
2007-09-08,A,700510,374022,1074532,offpeak,10745.32
2007-09-09,U,484803,266371,751174,offpeak,7511.74
2007-09-10,W,1072218,676612,1748830,peak,17488.3
2007-09-11,W,1108582,679973,1788555,peak,17885.55
2007-09-12,W,1090043,680733,1770776,peak,17707.76
2007-09-13,W,1073415,664991,1738406,peak,17384.06
2007-09-14,W,1070397,669129,1739526,peak,17395.26
2007-09-15,A,642789,378741,1021530,offpeak,10215.3
2007-09-16,U,455579,272814,728393,offpeak,7283.93
2007-09-17,W,1080112,675627,1755739,peak,17557.39
2007-09-18,W,1104193,689330,1793523,peak,17935.23
2007-09-19,W,1098945,692726,1791671,peak,17916.71
2007-09-20,W,1085299,682588,1767887,peak,17678.87
2007-09-21,W,1077275,697999,1775274,peak,17752.74
2007-09-22,A,678534,361587,1040121,offpeak,10401.21
2007-09-23,U,481232,269325,750557,offpeak,7505.57
2007-09-24,W,1065887,649262,1715149,peak,17151.49
2007-09-25,W,1064946,664976,1729922,peak,17299.22
2007-09-26,W,1009515,660197,1669712,peak,16697.12
2007-09-27,W,1093222,675936,1769158,peak,17691.58
2007-09-28,W,1080223,680820,1761043,peak,17610.43
2007-09-29,A,678705,358750,1037455,offpeak,10374.55
2007-09-30,U,463947,239074,703021,offpeak,7030.21
2007-10-01,W,1088750,652510,1741260,peak,17412.6
2007-10-02,W,1129578,669817,1799395,peak,17993.95
2007-10-03,W,1141300,678734,1820034,peak,18200.34
2007-10-04,W,1121496,682778,1804274,peak,18042.74
2007-10-05,W,1108038,681736,1789774,peak,17897.74
2007-10-06,A,693470,430713,1124183,offpeak,11241.83
2007-10-07,U,450253,394647,844900,offpeak,8449.0
2007-10-08,W,857090,563619,1420709,peak,14207.09
2007-10-09,W,1119151,673318,1792469,peak,17924.69
2007-10-10,W,1075443,666054,1741497,peak,17414.97
2007-10-11,W,1080412,674960,1755372,peak,17553.72
2007-10-12,W,1081900,669582,1751482,peak,17514.82
2007-10-13,A,657864,338481,996345,offpeak,9963.45
2007-10-14,U,452914,234730,687644,offpeak,6876.44
2007-10-15,W,1087003,651751,1738754,peak,17387.54
2007-10-16,W,1084935,664961,1749896,peak,17498.96
2007-10-17,W,1096384,668523,1764907,peak,17649.07
2007-10-18,W,1056395,666975,1723370,peak,17233.7
2007-10-19,W,974134,654836,1628970,peak,16289.7
2007-10-20,A,731918,352442,1084360,offpeak,10843.6
2007-10-21,U,499779,243884,743663,offpeak,7436.63
2007-10-22,W,1056369,648233,1704602,peak,17046.02
2007-10-23,W,1088752,662913,1751665,peak,17516.65
2007-10-24,W,1080803,662981,1743784,peak,17437.84
2007-10-25,W,1072949,672155,1745104,peak,17451.04
2007-10-26,W,1061706,659354,1721060,peak,17210.6
2007-10-27,A,678861,330492,1009353,offpeak,10093.53
2007-10-28,U,472765,233248,706013,offpeak,7060.13
2007-10-29,W,1049394,639837,1689231,peak,16892.31
2007-10-30,W,1088015,654838,1742853,peak,17428.53
2007-10-31,W,1036100,646598,1682698,peak,16826.98
2007-11-01,W,1102515,662120,1764635,peak,17646.35
2007-11-02,W,1019370,640204,1659574,peak,16595.74
2007-11-03,A,718550,331447,1049997,offpeak,10499.97
2007-11-04,U,491005,224395,715400,offpeak,7154.0
2007-11-05,W,1074116,645467,1719583,peak,17195.83
2007-11-06,W,1063193,655389,1718582,peak,17185.82
2007-11-07,W,1010629,643227,1653856,peak,16538.56
2007-11-08,W,1058758,663386,1722144,peak,17221.44
2007-11-09,W,1038131,658500,1696631,peak,16966.31
2007-11-10,A,699360,323757,1023117,offpeak,10231.17
2007-11-11,U,462568,216467,679035,offpeak,6790.35
2007-11-12,W,843086,551847,1394933,peak,13949.33
2007-11-13,W,1095253,660671,1755924,peak,17559.24
2007-11-14,W,1073985,652294,1726279,peak,17262.79
2007-11-15,W,1056246,653620,1709866,peak,17098.66
2007-11-16,W,1063833,645494,1709327,peak,17093.27
2007-11-17,A,651609,373784,1025393,offpeak,10253.93
2007-11-18,U,451689,224895,676584,offpeak,6765.84
2007-11-19,W,1045626,628079,1673705,peak,16737.05
2007-11-20,W,1055688,638081,1693769,peak,16937.69
2007-11-21,W,933046,578739,1511785,peak,15117.85
2007-11-22,U,294447,157890,452337,offpeak,4523.37
2007-11-23,W,619195,356064,975259,peak,9752.59
2007-11-24,A,541464,285732,827196,offpeak,8271.96
2007-11-25,U,396237,221021,617258,offpeak,6172.58
2007-11-26,W,1009519,612439,1621958,peak,16219.58
2007-11-27,W,1044685,629784,1674469,peak,16744.69
2007-11-28,W,1030447,627268,1657715,peak,16577.15
2007-11-29,W,1015386,625742,1641128,peak,16411.28
2007-11-30,W,1064598,631624,1696222,peak,16962.22
2007-12-01,A,606838,307004,913842,offpeak,9138.42
2007-12-02,U,423280,219797,643077,offpeak,6430.77
2007-12-03,W,1064265,605852,1670117,peak,16701.17
2007-12-04,W,1082140,625524,1707664,peak,17076.64
2007-12-05,W,1024462,623607,1648069,peak,16480.69
2007-12-06,W,1029586,619960,1649546,peak,16495.46
2007-12-07,W,956775,609732,1566507,peak,15665.07
2007-12-08,A,636461,326501,962962,offpeak,9629.62
2007-12-09,U,423634,215699,639333,offpeak,6393.33
2007-12-10,W,1036018,597674,1633692,peak,16336.92
2007-12-11,W,1002470,605203,1607673,peak,16076.73
2007-12-12,W,1051962,615293,1667255,peak,16672.55
2007-12-13,W,1039827,615948,1655775,peak,16557.75
2007-12-14,W,1045488,611182,1656670,peak,16566.7
2007-12-15,A,606795,316867,923662,offpeak,9236.62
2007-12-16,U,412777,215055,627832,offpeak,6278.32
2007-12-17,W,968005,564404,1532409,peak,15324.09
2007-12-18,W,1009642,582487,1592129,peak,15921.29
2007-12-19,W,1027855,587683,1615538,peak,16155.38
2007-12-20,W,1016117,578637,1594754,peak,15947.54
2007-12-21,W,1014168,563789,1577957,peak,15779.57
2007-12-22,A,613180,290854,904034,offpeak,9040.34
2007-12-23,U,347895,184560,532455,offpeak,5324.55
2007-12-24,W,531176,252649,783825,peak,7838.25
2007-12-25,U,249699,111582,361281,offpeak,3612.81
2007-12-26,W,707668,399662,1107330,peak,11073.3
2007-12-27,W,773602,462843,1236445,peak,12364.45
2007-12-28,W,747807,463830,1211637,peak,12116.37
2007-12-29,A,546998,277819,824817,offpeak,8248.17
2007-12-30,U,412003,232213,644216,offpeak,6442.16
2007-12-31,W,669463,405727,1075190,peak,10751.9
2008-01-01,U,295571,174243,469814,offpeak,4698.14
2008-01-02,W,699149,471241,1170390,peak,11703.9
2008-01-03,W,783950,517492,1301442,peak,13014.42
2008-01-04,W,851632,537002,1388634,peak,13886.34
2008-01-05,A,568839,280264,849103,offpeak,8491.03
2008-01-06,U,415385,207391,622776,offpeak,6227.76
2008-01-07,W,988485,588092,1576577,peak,15765.77
2008-01-08,W,990597,592632,1583229,peak,15832.29
2008-01-09,W,1023189,604515,1627704,peak,16277.04
2008-01-10,W,998489,602398,1600887,peak,16008.87
2008-01-11,W,1022368,602428,1624796,peak,16247.96
2008-01-12,A,604388,299546,903934,offpeak,9039.34
2008-01-13,U,391645,202380,594025,offpeak,5940.25
2008-01-14,W,996258,607357,1603615,peak,16036.15
2008-01-15,W,1013209,616432,1629641,peak,16296.41
2008-01-16,W,1041939,626138,1668077,peak,16680.77
2008-01-17,W,998608,619823,1618431,peak,16184.31
2008-01-18,W,959859,585432,1545291,peak,15452.91
2008-01-19,A,414819,231306,646125,offpeak,6461.25
2008-01-20,U,291354,168692,460046,offpeak,4600.46
2008-01-21,W,611887,382753,994640,peak,9946.4
2008-01-22,W,992432,615285,1607717,peak,16077.17
2008-01-23,W,974052,605979,1580031,peak,15800.31
2008-01-24,W,910998,588279,1499277,peak,14992.77
2008-01-25,W,859813,565226,1425039,peak,14250.39
2008-01-26,A,572085,293979,866064,offpeak,8660.64
2008-01-27,U,413581,213177,626758,offpeak,6267.58
2008-01-28,W,1025845,623259,1649104,peak,16491.04
2008-01-29,W,1011729,627428,1639157,peak,16391.57
2008-01-30,W,882014,580657,1462671,peak,14626.71
2008-01-31,W,961357,626504,1587861,peak,15878.61
2008-02-01,W,911151,593534,1504685,peak,15046.85
2008-02-02,A,627807,320544,948351,offpeak,9483.51
2008-02-03,U,416661,216443,633104,offpeak,6331.04
2008-02-04,W,1004041,608975,1613016,peak,16130.16
2008-02-05,W,1058756,632513,1691269,peak,16912.69
2008-02-06,W,925504,609115,1534619,peak,15346.19
2008-02-07,W,1028104,633781,1661885,peak,16618.85
2008-02-08,W,1031968,622837,1654805,peak,16548.05
2008-02-09,A,627412,319751,947163,offpeak,9471.63
2008-02-10,U,300232,176228,476460,offpeak,4764.6
2008-02-11,W,818840,559672,1378512,peak,13785.12
2008-02-12,W,819820,553554,1373374,peak,13733.74
2008-02-13,W,1039517,630232,1669749,peak,16697.49
2008-02-14,W,1074632,640598,1715230,peak,17152.3
2008-02-15,W,1036232,618258,1654490,peak,16544.9
2008-02-16,A,649814,336935,986749,offpeak,9867.49
2008-02-17,U,411858,218846,630704,offpeak,6307.04
2008-02-18,W,715974,456610,1172584,peak,11725.84
2008-02-19,W,967658,595964,1563622,peak,15636.22
2008-02-20,W,961552,601847,1563399,peak,15633.99
2008-02-21,W,1001382,615384,1616766,peak,16167.66
2008-02-22,W,1021900,610589,1632489,peak,16324.89
2008-02-23,A,648822,325327,974149,offpeak,9741.49
2008-02-24,U,439134,222548,661682,offpeak,6616.82
2008-02-25,W,1003187,602866,1606053,peak,16060.53
2008-02-26,W,970886,605240,1576126,peak,15761.26
2008-02-27,W,1019462,617002,1636464,peak,16364.64
2008-02-28,W,1028392,620602,1648994,peak,16489.94
2008-02-29,W,1049773,618230,1668003,peak,16680.03
2008-03-01,A,668866,322061,990927,offpeak,9909.27
2008-03-02,U,465660,229531,695191,offpeak,6951.91
2008-03-03,W,890785,556767,1447552,peak,14475.52
2008-03-04,W,1053813,619343,1673156,peak,16731.56
2008-03-05,W,1059027,620660,1679687,peak,16796.87
2008-03-06,W,1055418,624362,1679780,peak,16797.8
2008-03-07,W,1031200,604635,1635835,peak,16358.35
2008-03-08,A,590236,294749,884985,offpeak,8849.85
2008-03-09,U,415621,215690,631311,offpeak,6313.11
2008-03-10,W,1024901,606737,1631638,peak,16316.38
2008-03-11,W,1062865,633917,1696782,peak,16967.82
2008-03-12,W,1068268,640051,1708319,peak,17083.19
2008-03-13,W,1070019,642018,1712037,peak,17120.37
2008-03-14,W,1077635,647279,1724914,peak,17249.14
2008-03-15,A,645518,407380,1052898,offpeak,10528.98
2008-03-16,U,447363,243823,691186,offpeak,6911.86
2008-03-17,W,897500,584885,1482385,peak,14823.85
2008-03-18,W,909978,593247,1503225,peak,15032.25
2008-03-19,W,945983,608639,1554622,peak,15546.22
2008-03-20,W,955273,600735,1556008,peak,15560.08
2008-03-21,W,767583,493573,1261156,peak,12611.56
2008-03-22,A,589688,288852,878540,offpeak,8785.4
2008-03-23,U,401640,192284,593924,offpeak,5939.24
2008-03-24,W,1001268,570762,1572030,peak,15720.3
2008-03-25,W,1036465,596853,1633318,peak,16333.18
2008-03-26,W,1050176,603440,1653616,peak,16536.16
2008-03-27,W,986130,588572,1574702,peak,15747.02
2008-03-28,W,1053516,604448,1657964,peak,16579.64
2008-03-29,A,688035,319080,1007115,offpeak,10071.15
2008-03-30,U,442777,233663,676440,offpeak,6764.4
2008-03-31,W,1008940,622143,1631083,peak,16310.83
2008-04-01,W,1114418,637976,1752394,peak,17523.94
2008-04-02,W,1118495,661969,1780464,peak,17804.64
2008-04-03,W,1112511,663802,1776313,peak,17763.13
2008-04-04,W,1115690,653351,1769041,peak,17690.41
2008-04-05,A,765299,356215,1121514,offpeak,11215.14
2008-04-06,U,523895,249096,772991,offpeak,7729.91
2008-04-07,W,1084375,638419,1722794,peak,17227.94
2008-04-08,W,1063269,628618,1691887,peak,16918.87
2008-04-09,W,1092341,646940,1739281,peak,17392.81
2008-04-10,W,994944,620427,1615371,peak,16153.71
2008-04-11,W,999556,629067,1628623,peak,16286.23
2008-04-12,A,664161,302616,966777,offpeak,9667.77
2008-04-13,U,479293,216008,695301,offpeak,6953.01
2008-04-14,W,1088485,635754,1724239,peak,17242.39
2008-04-15,W,1127401,649135,1776536,peak,17765.36
2008-04-16,W,1064026,661463,1725489,peak,17254.89
2008-04-17,W,1091387,665873,1757260,peak,17572.6
2008-04-18,W,1097367,652105,1749472,peak,17494.72
2008-04-19,A,686540,340662,1027202,offpeak,10272.02
2008-04-20,U,519280,266945,786225,offpeak,7862.25
2008-04-21,W,1088521,651232,1739753,peak,17397.53
2008-04-22,W,1085729,671423,1757152,peak,17571.52
2008-04-23,W,1055157,650232,1705389,peak,17053.89
2008-04-24,W,1021163,649514,1670677,peak,16706.77
2008-04-25,W,1054844,629468,1684312,peak,16843.12
2008-04-26,A,698927,319314,1018241,offpeak,10182.41
2008-04-27,U,481571,225896,707467,offpeak,7074.67
2008-04-28,W,1009567,606882,1616449,peak,16164.49
2008-04-29,W,1091930,652034,1743964,peak,17439.64
2008-04-30,W,1104713,662503,1767216,peak,17672.16
2008-05-01,W,1129443,680679,1810122,peak,18101.22
2008-05-02,W,1082350,641332,1723682,peak,17236.82
2008-05-03,A,716121,344446,1060567,offpeak,10605.67
2008-05-04,U,536640,245821,782461,offpeak,7824.61
2008-05-05,W,1111775,633266,1745041,peak,17450.41
2008-05-06,W,1122716,651484,1774200,peak,17742.0
2008-05-07,W,1045666,631068,1676734,peak,16767.34
2008-05-08,W,1112033,655364,1767397,peak,17673.97
2008-05-09,W,1117011,659889,1776900,peak,17769.0
2008-05-10,A,742741,326525,1069266,offpeak,10692.66
2008-05-11,U,409987,193452,603439,offpeak,6034.39
2008-05-12,W,1070403,630574,1700977,peak,17009.77
2008-05-13,W,1092576,652724,1745300,peak,17453.0
2008-05-14,W,1083589,650904,1734493,peak,17344.93
2008-05-15,W,1092014,662730,1754744,peak,17547.44
2008-05-16,W,1110816,668057,1778873,peak,17788.73
2008-05-17,A,749048,350884,1099932,offpeak,10999.32
2008-05-18,U,518114,248679,766793,offpeak,7667.93
2008-05-19,W,1076847,614865,1691712,peak,16917.12
2008-05-20,W,1085719,634661,1720380,peak,17203.8
2008-05-21,W,1108988,647342,1756330,peak,17563.3
2008-05-22,W,1097500,649513,1747013,peak,17470.13
2008-05-23,W,1074370,622769,1697139,peak,16971.39
2008-05-24,A,692374,371905,1064279,offpeak,10642.79
2008-05-25,U,502997,284612,787609,offpeak,7876.09
2008-05-26,U,460848,274870,735718,offpeak,7357.18
2008-05-27,W,1026141,626634,1652775,peak,16527.75
2008-05-28,W,1105899,647402,1753301,peak,17533.01
2008-05-29,W,1090598,653634,1744232,peak,17442.32
2008-05-30,W,1079526,637842,1717368,peak,17173.68
2008-05-31,A,788945,374327,1163272,offpeak,11632.72
2008-06-01,U,566162,279274,845436,offpeak,8454.36
2008-06-02,W,1098574,638006,1736580,peak,17365.8
2008-06-03,W,1073873,643040,1716913,peak,17169.13
2008-06-04,W,1114498,656098,1770596,peak,17705.96
2008-06-05,W,1104182,673642,1777824,peak,17778.24
2008-06-06,W,1087144,661938,1749082,peak,17490.82
2008-06-07,A,708308,358623,1066931,offpeak,10669.31
2008-06-08,U,494209,281814,776023,offpeak,7760.23
2008-06-09,W,1032999,630410,1663409,peak,16634.09
2008-06-10,W,1117614,685952,1803566,peak,18035.66
2008-06-11,W,1100852,696784,1797636,peak,17976.36
2008-06-12,W,1026283,681143,1707426,peak,17074.26
2008-06-13,W,1084190,655268,1739458,peak,17394.58
2008-06-14,A,785252,368109,1153361,offpeak,11533.61
2008-06-15,U,495972,235961,731933,offpeak,7319.33
2008-06-16,W,999214,614395,1613609,peak,16136.09
2008-06-17,W,1033341,643362,1676703,peak,16767.03
2008-06-18,W,1043814,654284,1698098,peak,16980.98
2008-06-19,W,1037717,659852,1697569,peak,16975.69
2008-06-20,W,996558,662324,1658882,peak,16588.82
2008-06-21,A,741561,399150,1140711,offpeak,11407.11
2008-06-22,U,531761,282226,813987,offpeak,8139.87
2008-06-23,W,1019631,625987,1645618,peak,16456.18
2008-06-24,W,1046337,666522,1712859,peak,17128.59
2008-06-25,W,1005969,662936,1668905,peak,16689.05
2008-06-26,W,1052301,685526,1737827,peak,17378.27
2008-06-27,W,1019687,693555,1713242,peak,17132.42
2008-06-28,A,730245,483016,1213261,offpeak,12132.61
2008-06-29,U,505046,412562,917608,offpeak,9176.08
2008-06-30,W,1037295,679631,1716926,peak,17169.26
2008-07-01,W,1098281,694175,1792456,peak,17924.56
2008-07-02,W,1043654,675750,1719404,peak,17194.04
2008-07-03,W,1143777,905742,2049519,peak,20495.19
2008-07-04,U,606974,421170,1028144,offpeak,10281.44
2008-07-05,A,675949,409554,1085503,offpeak,10855.03
2008-07-06,U,520542,324341,844883,offpeak,8448.83
2008-07-07,W,990782,608485,1599267,peak,15992.67
2008-07-08,W,1052665,666338,1719003,peak,17190.03
2008-07-09,W,1093064,686636,1779700,peak,17797.0
2008-07-10,W,1029219,674645,1703864,peak,17038.64
2008-07-11,W,1059114,682404,1741518,peak,17415.18
2008-07-12,A,718369,361910,1080279,offpeak,10802.79
2008-07-13,U,553236,291565,844801,offpeak,8448.01
2008-07-14,W,1058694,637119,1695813,peak,16958.13
2008-07-15,W,1088616,655456,1744072,peak,17440.72
2008-07-16,W,1063054,651228,1714282,peak,17142.82
2008-07-17,W,1070349,656485,1726834,peak,17268.34
2008-07-18,W,1050847,664271,1715118,peak,17151.18
2008-07-19,A,675968,342834,1018802,offpeak,10188.02
2008-07-20,U,546570,284611,831181,offpeak,8311.81
